Question ID,Topic,Ref #,Question (FI),Question (EN),Option A (FI),Option A (EN),Option B (FI),Option B (EN),Option C (FI),Option C (EN),Correct (A/B/C),Focus words (FI),Focus words (EN),Positive clues (FI),Positive clues (EN),Negative clues (FI),Negative clues (EN),Explanation (EN),Difficulty,Tags,Status,Reviewer notes
Q092,Erityisryhmä / kommunikointi,M1,"Asiakkaana on henkilö, joka ei kykene kommunikoimaan kuljettajan kanssa. Mitä kuljettajalta vaaditaan?",The customer is a person who cannot communicate with the driver. What is required of the driver?,"Taksinkuljettajalta edellytetään, että asiakas pääsee oikeaan määränpäähän.",The taxi driver is required to ensure the customer reaches the correct destination.,Taksinkuljettajalta edellytetään asiakkaiden kanssa saman kielen osaamista.,The taxi driver is required to speak the same language as the customer.,Taksinkuljettajalta edellytetään poikkeuslupaa kuljetuksen suorittamiseen.,The taxi driver is required to have an exemption permit to carry out the transport.,A,ei kykene kommunikoimaan kuljettajan kanssa,cannot communicate with the driver,asiakas pääsee oikeaan määränpäähän,the customer reaches the correct destination,saman kielen osaamista; poikkeuslupaa,speaking the same language; an exemption permit,"Regardless of communication barriers, the driver must ensure the customer reaches their destination (A). Speaking the same language (B) is not a legal requirement, and no special permit is needed (C).",Medium,communication; special needs; destination,ai-draft,
Q093,Kuuro / kuulovammainen,M21,Mitä sinun tulee ottaa huomioon kuuron asiakkaan kanssa ennen liikkeellelähtöä?,What must you take into account with a deaf customer before setting off?,Pimeällä autossa tulisi pitää sisävalot päällä kommunikointitilanteissa.,"In the dark, the interior light should be kept on in communication situations.",Pimeällä asiakkaalle tulee puhua kovemmalla äänellä kuin valoisalla.,"In the dark, you should speak more loudly to the customer than in daylight.","Pimeällä kommunikointi on mahdotonta, joten sitä ei kannata yrittää lainkaan.","Communication in the dark is impossible, so it is not worth trying at all.",A,kuuron asiakkaan kanssa; ennen liikkeellelähtöä,with a deaf customer; before setting off,sisävalot päällä kommunikointitilanteissa,interior light on in communication situations,puhua kovemmalla äänellä; kommunikointi on mahdotonta,speak more loudly; communication is impossible,"A deaf person lip-reads and uses visual cues, so keeping the interior light on in darkness allows communication (A). Speaking louder (B) helps a hard-of-hearing person, not a deaf one. Declaring communication impossible (C) is both incorrect and unhelpful.",Medium,deaf; communication; interior light; hearing impaired,ai-draft,
Q094,Liikuntarajoitteinen / avustaja,M22,"Kuinka sinun tulee toimia saattaessasi kotiin asiakasta, joka ei kykene huolehtimaan itsestään, kun sovittu avustaja EI ole vastaanottamassa häntä?","How must you act when escorting home a customer who cannot look after themselves, and the agreed assistant is NOT there to receive them?",Sinun tulee aina viedä asiakas takaisin lähtöpaikkaansa.,You must always take the customer back to their starting point.,Voit jättää asiakkaan esimerkiksi naapurin luokse.,"You may leave the customer with, for example, a neighbour.","Sinun tulee odottaa asiakkaan kanssa, kunnes avustaja saapuu paikalle.",You must wait with the customer until the assistant arrives.,C,ei kykene huolehtimaan itsestään; avustaja EI ole vastaanottamassa,cannot look after themselves; the assistant is NOT there to receive them,"odottaa asiakkaan kanssa, kunnes avustaja saapuu",wait with the customer until the assistant arrives,aina viedä asiakas takaisin lähtöpaikkaansa; jättää asiakkaan esimerkiksi naapurin luokse,always take the customer back to the starting point; leave the customer with a neighbour,"When the assistant is absent, the driver must stay with the customer until the assistant arrives (C). Returning to the start (A) is not always appropriate, and leaving them with a random neighbour (B) is unsafe.",Medium,assisted transport; assistant absent; duty of care,ai-draft,
Q095,Sähkömopo / esteetön kuljetus,M23,"Saako yli 15-vuotias asiakas matkustaa isossa esteettömässä ajoneuvossa siten, että hän pyörätuolin sijaan istuu nelipyöräisessä sähkömopossa (senioriskootteri)?",May a customer over 15 travel in a large accessible vehicle seated in a four-wheeled electric mobility scooter (senior scooter) instead of a wheelchair?,"Ei saa, koska sähkömopoa ei ole tarkoitettu asiakkaan kuljettamiseen taksissa.","No, because a mobility scooter is not intended for transporting a customer in a taxi.","Kyllä saa, jos sähkömopo on sijoitettu siten, että asiakas matkustaa selkä menosuuntaan.","Yes, if the scooter is positioned so the customer faces backward.","Kyllä saa, jos kuljettaja huolehtii asiakkaan sähkömopon oikeaoppisesta kiinnittämisestä ajoneuvoon.","Yes, if the driver ensures the mobility scooter is properly secured to the vehicle.",A,nelipyöräisessä sähkömopossa; pyörätuolin sijaan,in a four-wheeled electric mobility scooter; instead of a wheelchair,ei ole tarkoitettu asiakkaan kuljettamiseen taksissa,not intended for transporting a customer in a taxi,selkä menosuuntaan; oikeaoppisesta kiinnittämisestä ajoneuvoon,facing backward; properly secured to the vehicle,A mobility scooter is not approved for transporting passengers in a taxi (A). Facing backward (B) or securing it (C) do not change that; only purpose-approved devices may be used.,Hard,mobility scooter; not permitted; accessible vehicle,ai-draft,"CONTRAST with Q081, which marks C as correct (approved + properly secured = permitted). The two master answers conflict: Q095-A says a scooter is never permitted; Q081-C says it is if approved. Kept each question's master key and flagged. Confirm which position reflects current regulation."
Q096,Liikuntarajoitteinen / avustaja,M25,Liikuntavammaisella asiakkaalla saattaa olla mukanaan avustaja. Miten toimit tällöin?,A customer with a physical disability may have an assistant with them. How do you act in this case?,Keskustelet aina vain avustajan kanssa.,You always talk only with the assistant.,Keskustelet aina asiakkaan kanssa.,You always talk with the customer.,"Pyydät kirjalliset ohjeet siitä, kuinka tulee toimia.",You ask for written instructions on how to act.,B,Liikuntavammaisella asiakkaalla; avustaja,a customer with a physical disability; an assistant,Keskustelet aina asiakkaan kanssa,you always talk with the customer,Keskustelet aina vain avustajan kanssa; Pyydät kirjalliset ohjeet,you always talk only with the assistant; you ask for written instructions,"Always address the customer directly, not the assistant (B). Talking only to the assistant (A) is disrespectful; asking for written instructions (C) is unnecessary.",Easy,disability; communication; assistant; respect,ai-draft,
Q097,Kuuro / kuulovammainen,M26,Miten voit parantaa kommunikointia kuulovammaisen matkustajan kanssa?,How can you improve communication with a hearing-impaired passenger?,En mitenkään.,I cannot in any way.,Suosittelemalla asiakasta istumaan etuistuimelle.,By recommending the customer sit in the front seat.,Suosittelemalla asiakasta istumaan takaistumelle.,By recommending the customer sit in the back seat.,B,kuulovammaisen matkustajan kanssa,with a hearing-impaired passenger,istumaan etuistuimelle,sit in the front seat,En mitenkään; istumaan takaistumelle,I cannot in any way; sit in the back seat,"Sitting in the front seat lets the hearing-impaired passenger see the driver's face and lip-read more easily (B). The back seat (C) makes this harder, and doing nothing (A) is incorrect.",Easy,hearing impaired; front seat; communication,ai-draft,
Q098,Liikuntarajoitteinen / avustaja,M27,"Miten taksinkuljettajan tulee toimia, kun liikuntavammaisella asiakkaalla on ajoneuvon tavaratilaan meneviä matkatavaroita mukanaan ja hänellä on avustaja?",How should the taxi driver act when a customer with a physical disability has luggage to go in the vehicle's boot and they have an assistant?,Kuljettaja avustaa asiakasta ja avustajan tehtävänä on huolehtia matkatavaroiden lastaamisesta ja purkamisesta.,The driver assists the customer and the assistant's job is to handle loading and unloading the luggage.,"Kuljettaja odottaa autossa, koska avustajan tehtävä on avustaa asiakas ajoneuvoon sekä huolehtia matkatavaroista.","The driver waits in the car, because the assistant's job is to help the customer into the vehicle and handle the luggage.",Kuljettaja avustaa asiakasta ajoneuvoon ja huolehtii matkatavaroiden lastaamisesta ja purkamisesta.,The driver assists the customer into the vehicle and handles loading and unloading the luggage.,C,liikuntavammaisella asiakkaalla; avustaja,a customer with a physical disability; an assistant,Kuljettaja avustaa asiakasta ajoneuvoon; huolehtii matkatavaroiden lastaamisesta,the driver assists the customer into the vehicle; handles loading and unloading the luggage,avustajan tehtävänä on huolehtia matkatavaroi; Kuljettaja odottaa autossa,the assistant's job is to handle the luggage; the driver waits in the car,"The driver's duties include assisting the customer aboard and handling the luggage (C), regardless of whether an assistant is present. The assistant supports the customer but does not take over the driver's transport duties.",Medium,disability; luggage; driver duty; assistant,ai-draft,
Q099,Kela / vakiotaksi,M28,"Asiakas haluaa Kela-korvattavan kyydin, mutta et itse aja Kela-korvattavia kyytejä. Miten ohjaat asiakkaan?","A customer wants a Kela-reimbursed ride, but you do not run Kela-reimbursed rides yourself. How do you direct the customer?","Otat asiakkaan kyytiin, viet hänet määränpäähän ja pyydät häntä hakemaan Kelalta korvausta taksikyydistä.","You take the customer, drive them to their destination, and ask them to claim the reimbursement from Kela.",Neuvon asiakasta soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon.,I advise the customer to call the Kela dispatch company's service number for their area.,Kehotan Kela-kyytejä ajavaa kuljettajaa olemaan yhteydessä asiakkaaseen.,I tell a driver who runs Kela rides to contact the customer.,B,Kela-korvattavan kyydin; et itse aja Kela-korvattavia kyytejä,a Kela-reimbursed ride; you do not run Kela rides,soittamaan oman alueensa Kelan tilausvälitysyhtiön palvelunumeroon,call the Kela dispatch company's service number for their area,Otat asiakkaan kyytiin; Kehotan Kela-kyytejä ajavaa kuljettajaa,you take the customer anyway; I tell a Kela driver to contact them,The correct step is to direct the customer to the Kela dispatch number for their area (B). Taking them and asking for reimbursement later (A) is incorrect; having another driver contact them (C) is not the driver's role.,Medium,Kela; reimbursement; dispatch; customer guidance,ai-draft,
Q100,Kela / vakiotaksi,M31,Minkä osuuden asiakas maksaa Kela-kyydistä kuljettajalle?,What portion of the Kela ride does the customer pay to the driver?,Koko matkan hinnan.,The full fare.,Enintään omavastuun.,At most the co-payment.,Omavastuun ylittävän osuuden.,The portion exceeding the co-payment.,B,Kela-kyydistä; asiakas maksaa Kela-kyydistä kuljettajalle,Kela ride; the customer pays the driver,Enintään omavastuun,at most the co-payment,Koko matkan hinnan; Omavastuun ylittävän osuuden,the full fare; the portion exceeding the co-payment,In a Kela-reimbursed ride the customer pays only up to the co-payment (B); Kela covers the rest. The customer never pays the full fare (A) or the amount above the co-payment (C).,Medium,Kela; co-payment; fare,ai-draft,
Q101,Näkövammainen / opaskoira,M32,Mitä erityistä sinun tulee ottaa huomioon kuljettaessasi näkövammaista asiakasta?,What in particular must you take into account when transporting a visually impaired customer?,"Vaadit, että näkövammaisella asiakkaalla on avustaja mukana.",You require that the visually impaired customer has an assistant with them.,"Näkövammainen asiakas ei välttämättä tiedosta, mitä kuljetuksen aikana tapahtuu, joten hän voi pelätä kyydissä.","A visually impaired customer may not be aware of what is happening during the ride, so they may be frightened.","Näkövammainen asiakas ei välttämättä tiedosta, mitä kuljetuksen aikana tapahtuu, joten hän ei pelkää kyydissä.","A visually impaired customer may not be aware of what is happening during the ride, so they are not frightened.",B,näkövammaista asiakasta,a visually impaired customer,voi pelätä kyydissä; ei välttämättä tiedosta,may be frightened during the ride; may not be aware of what is happening,"Vaadit, että näkövammaisella asiakkaalla on avustaja mukana; hän ei pelkää kyydissä",you require them to have an assistant; they are not frightened,"A visually impaired person cannot see what is happening and may feel anxious (B). Demanding an assistant (A) is not your right, and assuming they never feel fear (C) ignores a real and common experience.",Easy,visually impaired; anxiety; awareness; communication,ai-draft,
Q102,Liikuntarajoitteinen / avustaja,M33,"Miten toimit, kun liikuntarajoitteisella asiakkaalla on mukanaan avustaja?",How do you act when a customer with limited mobility has an assistant with them?,Pyrit ensisijaisesti keskustelemaan asiakkaan kanssa kuljetukseen liittyvistä asioista.,You primarily aim to discuss transport-related matters with the customer.,Pyrit ensisijaisesti keskustelemaan avustajan kanssa kuljetukseen liittyvistä asioista.,You primarily aim to discuss transport-related matters with the assistant.,"Pyydät avustajalta aina kirjalliset ohjeet siitä, miten kuljetuksessa asiakasta avustetaan.",You always ask the assistant for written instructions on how to assist the customer.,A,liikuntarajoitteisella asiakkaalla; avustaja,a customer with limited mobility; an assistant,ensisijaisesti keskustelemaan asiakkaan kanssa,primarily discuss with the customer,ensisijaisesti keskustelemaan avustajan kanssa; kirjalliset ohjeet,primarily discuss with the assistant; written instructions,"Always address the customer first (A). The assistant is there to support the customer, not to be the point of contact for the driver.",Easy,disability; communication; assistant; respect,ai-draft,
Q103,Kela / vakiotaksi,M34,Missä seuraavista kuljetuksista ajoneuvossa tulee olla alkolukko?,In which of the following transport types must the vehicle have an alcolock?,Kansaneläkelaitoksen tilaamissa kuljetuksissa.,Transports ordered by Kela.,Koulu- ja päivähoitokuljetuksissa.,School and daycare transport.,Vammaispalvelulain mukaisissa terveydenhuollon tilaamissa kuljetuksissa.,Healthcare transports ordered under the Disability Services Act.,B,alkolukko,alcolock,Koulu- ja päivähoitokuljetuksissa,school and daycare transport,Kansaneläkelaitoksen tilaamissa kuljetuksissa; Vammaispalvelulain mukaisissa,transports ordered by Kela; under the Disability Services Act,"An alcolock is required only for municipally ordered school and daycare transport (B), not Kela rides (A) or disability services transport (C).",Medium,alcolock; school transport; Kela,ai-draft,
Q104,Näkövammainen / opaskoira,M36,"Miten toimit, kun näkövammaisella asiakkaalla on opaskoira?",How do you act when a visually impaired customer has a guide dog?,"Nouset autosta ja kerrot, että hänen taksinsa on saapunut, ja kerrot, että opaskoiran paikka on asiakkaan jalkatilassa.","You get out of the car, tell them their taxi has arrived, and inform them that the guide dog's place is in the passenger footwell.","Nouset autosta, kerrot asiakkaalle, että hänen taksinsa on saapunut, ja huomioit opaskoiran rapsuttamalla sitä.","You get out of the car, tell the customer their taxi has arrived, and acknowledge the guide dog by petting it.","Odotat ajoneuvossa asiakkaan saapumista, avaat hänelle sisäpuolelta oven ja teet takapenkille tilaa opaskoiralle.","You wait in the vehicle for the customer to arrive, open the door from the inside, and make room in the back seat for the guide dog.",A,näkövammaisella asiakkaalla on opaskoira,a visually impaired customer has a guide dog,Nouset autosta; opaskoiran paikka on asiakkaan jalkatilassa,you get out of the car; the guide dog's place is in the passenger footwell,rapsuttamalla sitä; Odotat ajoneuvossa,petting it; you wait in the vehicle,"Get out, announce the taxi's arrival, and inform the customer that the guide dog rides in the footwell (A). Petting the working guide dog (B) distracts it from its duties. Staying inside and opening the door remotely (C) leaves the visually impaired customer without guidance.",Medium,visually impaired; guide dog; footwell,ai-draft,
Q105,Näkövammainen / opaskoira,M37,Miten taksinkuljettajan tulee huomioida näkövammainen asiakas?,How should a taxi driver take a visually impaired customer into account?,Taksinkuljettajan on hyvä näkövammaista palvellessa puhua hiukan kovemmalla äänellä.,It is good for the driver to speak a little louder when serving a visually impaired person.,Taksinkuljettajan tulee aina ohjata asiakasta olkapäästä ja auttaa hänet autoon kevyesti työntäen.,The driver must always guide the customer from the shoulder and help them into the car with a gentle push.,"Taksinkuljettajan on hyvä kysyä asiakkaalta, miten häntä voi auttaa ennen kuin ryhtyy avustamaan.",It is good for the driver to ask the customer how they can be helped before starting to assist.,C,näkövammainen asiakas,a visually impaired customer,"kysyä asiakkaalta, miten häntä voi auttaa",ask the customer how they can be helped,puhua hiukan kovemmalla äänellä; ohjata asiakasta olkapäästä,speak a little louder; guide the customer from the shoulder,"Always ask first how to help (C). Visual impairment is unrelated to hearing, so speaking louder (A) is unnecessary. Guiding from the shoulder and pushing without consent (B) is presumptuous.",Easy,visually impaired; ask first; assistance,ai-draft,
Q106,Kela / vakiotaksi,M40,"Voitko toimia vakiotaksinkuljettajana säännöllisissä kuntoutukseen liittyvissä matkoissa, kun matkustajana on pyörätuolia käyttävä 15-vuotias lapsi?",Can you act as a regular taxi driver for regular rehabilitation trips when the passenger is a 15-year-old wheelchair user?,"En voi toimia vakiotaksinkuljettajana, koska lapsella ei ole oikeutta vakiotaksiin.",I cannot act as a regular taxi driver because the child is not entitled to a regular taxi.,"Selvitän työnantajaltani, voinko toimia vakiotaksinkuljettajana.",I check with my employer whether I can act as a regular taxi driver.,Voin toimia vakiotaksinkuljettajana huoltajan valtuutuksella.,I can act as a regular taxi driver with the guardian's authorisation.,B,vakiotaksinkuljettajana; 15-vuotias lapsi; pyörätuolia käyttävä,a regular taxi driver; a 15-year-old child; wheelchair user,Selvitän työnantajaltani,I check with my employer,lapsella ei ole oikeutta vakiotaksiin; huoltajan valtuutuksella,the child is not entitled to a regular taxi; with the guardian's authorisation,The right step is to confirm with the employer whether you qualify and are equipped for this assignment (B). Blanket denial (A) and a guardian's authorisation alone (C) are incorrect.,Medium,regular taxi; rehabilitation; wheelchair; employer,ai-draft,
Q107,Liikuntarajoitteinen / avustaja,M41,Liikuntavammaisella asiakkaalla saattaa olla mukanaan avustaja. Miten toimit tällöin?,A customer with a physical disability may have an assistant with them. How do you act in this case?,Keskustelet aina vain avustajan kanssa.,You always talk only with the assistant.,Keskustelet aina asiakkaan kanssa.,You always talk with the customer.,"Pyydät kirjalliset ohjeet siitä, kuinka tulee toimia.",You ask for written instructions on how to act.,B,Liikuntavammaisella asiakkaalla; avustaja,a customer with a physical disability; assistant,Keskustelet aina asiakkaan kanssa,you always talk with the customer,Keskustelet aina vain avustajan kanssa; Pyydät kirjalliset ohjeet,you always talk only with the assistant; you ask for written instructions,Always address the customer directly (B). Talking only to the assistant (A) is disrespectful; written instructions (C) are unnecessary.,Easy,disability; communication; assistant; respect,ai-draft,
Q108,Sairauskohtaus / erityistarve,M42,"Miten toimit, kun asiakas saa epileptisen kohtauksen kuljetuksen aikana?",How do you act when a customer has an epileptic seizure during the ride?,"Pysäytät ajoneuvon turvalliseen paikkaan ja pidät asiakasta tiukasti kiinni, jottei hän satuttaisi itseään kouristuskohtauksen aikana. Kun kouristukset vähenevät, käännät henkilön kylkiasentoon.","You stop in a safe place and hold the customer tightly so they do not hurt themselves during the seizure. When the convulsions subside, you turn them into the recovery position.","Pysäytät ajoneuvon turvalliseen paikkaan ja huolehdit, ettei asiakas kolhi päätään, mutta et pyri estämään kouristusliikkeitä. Kun kouristukset vähenevät, käännät henkilön kylkiasentoon.","You stop in a safe place and make sure the customer does not bang their head, but you do not try to stop the convulsive movements. When the convulsions subside, you turn them into the recovery position.","Jatkat ajamista ja pidät toisella kädellä asiakasta paikoillaan, koska epileptinen kohtaus menee muutamassa minuutissa ohi.","You keep driving and hold the customer in place with one hand, because an epileptic seizure passes in a few minutes.",B,epileptisen kohtauksen,an epileptic seizure,et pyri estämään kouristusliikkeitä; käännät henkilön kylkiasentoon,do not try to stop the convulsive movements; turn them into the recovery position,pidät asiakasta tiukasti kiinni; Jatkat ajamista,hold the customer tightly; you keep driving,"Stop safely, protect the head, do not restrain the convulsions, then recovery position (B). Restraining (A) risks injury; driving on (C) is dangerous.",Hard,first aid; epilepsy; emergency,ai-draft,
